time	close	high	low	open	volumeto	volumefrom
1526971980	1205.78	1205.92	1205.38	1205.38	8.65	10421.39
1526972040	1205.56	1205.98	1205.56	1205.78	13.11	15829.28
1526972100	1204.68	1205.65	1204.42	1205.56	12.01	14453.78
1526972160	1204.14	1204.68	1204.14	1204.68	11.49	13856.05
1526972220	1201.02	1205.05	1201.02	1204.14	173.5	208548.93
1526972280	1205.46	1205.51	1201.14	1201.14	95.48	114994.67
1526972340	1205.29	1206.33	1204.68	1205.46	13.61	16479.77
1526972400	1204.55	1205.51	1204.55	1205.27	19.98	24039.75
1526972460	1203.48	1204.57	1203.48	1204.55	5.3	6378.86
1526972520	1203.05	1203.49	1203.05	1203.48	5.25	6326.99
1526972580	1203.93	1203.93	1202.32	1203.05	5.53	6668.05
1526972640	1203.45	1203.93	1202.74	1203.93	17.15	20652.33
1526972700	1203.07	1203.44	1203.07	1203.44	5.38	6481.94
1526972760	1203.4	1203.48	1203.07	1203.07	7.48	9022.79
1526972820	1203.12	1203.4	1203.06	1203.4	7.54	9068.59
1526972880	1203.15	1203.19	1202.68	1203.12	18.46	22199.47
1526972940	1201.56	1203.01	1201.56	1203.01	8.59	10320.73
1526973000	1201.7	1201.85	1200.88	1201.56	29.83	35824.88
1526973060	1201.36	1201.7	1200.83	1201.7	9.68	11633.48
1526973120	1201.05	1201.38	1200.81	1201.36	21.51	25827.14
1526973180	1202.1	1202.1	1200.94	1201.05	12.86	15451.12
1526973240	1199.81	1202.1	1199.71	1202.1	22.95	27554.88
1526973300	1200.33	1200.38	1198.26	1199.81	63.41	75963.05
1526973360	1200.16	1200.26	1199.14	1199.14	17.03	20432.08
1526973420	1199.14	1200.16	1198.9	1200.16	11.63	13951.69
1526973480	1199.49	1199.63	1199.12	1199.14	15.52	18621.13
1526973540	1201.25	1201.25	1199.49	1199.49	33.88	40701.53
1526973600	1201.41	1201.41	1199.95	1201.25	23.26	27938.27
1526973660	1201.46	1201.6	1201.24	1201.24	5.87	7071.85
1526973720	1201.26	1201.83	1201.25	1201.46	3.19	3837.22
1526973780	1200.74	1201.3	1200.41	1201.26	9.13	10969.73
1526973840	1200.59	1200.74	1200.47	1200.68	6	7205.79
1526973900	1200.78	1200.83	1200.25	1200.59	28.85	34641.79
1526973960	1202.4	1202.4	1200.78	1200.78	20.72	24914.38
1526974020	1203.58	1203.58	1202.43	1202.43	12.89	15516.27
1526974080	1203.91	1204.01	1203.33	1203.58	21.42	25791.62
1526974140	1204.25	1204.33	1203.84	1203.91	17.43	21005.03
1526974200	1202.85	1204.35	1202.85	1204.3	38.41	46234.09
1526974260	1202.58	1202.86	1202.15	1202.85	18.47	22237.11
1526974320	1202.19	1203.11	1202.19	1202.58	6.11	7352.23
1526974380	1202.69	1202.69	1202.19	1202.19	1.46	1754.91
1526974440	1202.52	1202.82	1202.32	1202.6	28.8	34670.14
1526974500	1202.82	1203.01	1202.51	1202.58	14.53	17479.56
1526974560	1203.27	1203.31	1202.69	1202.88	24.54	29620.94
1526974620	1203.32	1203.85	1203.24	1203.29	4.88	5900.64
1526974680	1203.04	1203.9	1203.04	1203.32	29.94	36154.58
1526974740	1202.76	1203.05	1202.74	1203.04	3.18	3803.91
1526974800	1202.54	1202.77	1202.18	1202.76	7.99	9607.66
1526974860	1202.47	1202.54	1202.04	1202.54	3.72	4466.59
1526974920	1202.41	1202.47	1202.39	1202.47	2.91	3494.52
1526974980	1201.65	1202.39	1201.65	1202.22	7.3	8788.41
1526975040	1201.28	1201.66	1201.25	1201.65	2.03	2447.3
1526975100	1201.23	1201.3	1201.21	1201.23	8.15	9791.26
1526975160	1201.3	1201.71	1201.19	1201.21	2.04	2450.73
1526975220	1200	1201.39	1199.02	1201.25	83.6	100338.36
1526975280	1199.37	1200.08	1199.32	1200	11.82	14156.97
1526975340	1203.13	1203.13	1199.16	1199.19	175.08	209946.6
1526975400	1203.51	1203.56	1203.13	1203.13	5.76	6934.28
1526975460	1203.02	1203.55	1202.94	1203.51	22.43	27003.03
1526975520	1203.1	1203.1	1202.92	1203.02	18.12	21832.63
1526975580	1200.15	1203.69	1199.33	1203.1	46.08	55199.1
1526975640	1199.2	1200.17	1199.15	1200.15	13.39	16084.52
1526975700	1200.17	1200.37	1198.95	1199.05	35.03	42084.93
1526975760	1199.86	1200.56	1199.86	1200.56	24.31	29198.16
1526975820	1199.3	1200.41	1199.14	1199.86	31.33	37551.39
1526975880	1199.57	1200.09	1199.09	1199.3	64.7	77594.88
1526975940	1200.67	1200.79	1199.12	1199.12	49.81	59874.14
1526976000	1200.1	1200.67	1200.1	1200.67	7.28	8746.64
1526976060	1199.34	1200.1	1199.18	1200.1	46.27	55637.29
1526976120	1199.5	1199.53	1199.38	1199.38	7.46	8950.95
1526976180	1197.9	1199.5	1197.31	1199.5	92.93	111205.43
1526976240	1197.79	1198.29	1197.79	1197.85	10.67	12778.45
1526976300	1197.6	1197.79	1197.39	1197.79	2.92	3509.4
1526976360	1196.76	1197.59	1196.63	1197.59	11.41	13637.37
1526976420	1196.53	1196.81	1196.53	1196.76	5.15	6164.62
1526976480	1197.02	1197.18	1196.54	1196.54	0.9533	1140.72
1526976540	1196.99	1197.14	1196.99	1197.02	6.18	7401.51
1526976600	1195.89	1197.04	1195.73	1197.04	43.04	51369.14
1526976660	1195.27	1196.26	1194.83	1196.26	65.28	77817.2
1526976720	1195.49	1195.59	1195.03	1195.27	15.53	18576.17
1526976780	1195.45	1195.57	1194.81	1195.46	9.37	11189.66
1526976840	1194.82	1195.43	1194.74	1195.4	11.41	13625.85
